name,date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
Chenango,2020-08-23,R,NA,Estimate,0.870546938272353,1.38642724745815,0.986062446926906,1.18489157646449,1.11705836143158,1.13778586436984,0.16725607911069
Chenango,2020-08-24,R,NA,Estimate,0.894338366443196,1.39375291543148,0.993842717994419,1.18232601205208,1.10487362356909,1.12597490986146,0.161087095850017
Chenango,2020-08-25,R,NA,Estimate,0.888368478538922,1.37871172780292,0.975340026498041,1.15125132431631,1.09454687640774,1.1115239183796,0.154437440384107
Chenango,2020-08-26,R,NA,Estimate,0.882055714627666,1.35103392431189,0.975600145079891,1.14642200893375,1.07861208411077,1.09496454739244,0.147701213830029
Chenango,2020-08-27,R,NA,Estimate,0.8514312100748,1.30924549317189,0.947880802986195,1.11442354256414,1.06197160198329,1.0768798001721,0.14128812707569
Chenango,2020-08-28,R,NA,Estimate,0.828569581674811,1.27510196143886,0.955494401704164,1.11710291098071,1.04666766382322,1.05787875363258,0.135595174327141
Chenango,2020-08-29,R,NA,Estimate,0.80848201909937,1.24599412574916,0.9336215901766,1.09166309163887,1.03088211700818,1.03857218482412,0.130963189110783
Chenango,2020-08-30,R,NA,Estimate,0.801928169919336,1.23068125104451,0.944367022334635,1.09902716721138,1.01627383506761,1.01955083693794,0.127625230124337
Chenango,2020-08-31,R,NA,Estimate,0.796749144547996,1.2210383363992,0.925630923973191,1.07956008624363,1.00289398245973,1.00136768042131,0.125663788493375
Chenango,2020-09-01,R,NA,Estimate,0.798023443486773,1.21016471732745,0.895423082629794,1.05149780454122,0.98785743548261,0.984524989961163,0.124996453964591
Chenango,2020-09-02,R,NA,Estimate,0.760121800801722,1.17153709945158,0.917723805256066,1.07372330393429,0.972782996900253,0.969466453437396,0.125398997479052
Chenango,2020-09-03,R,NA,Estimate,0.763169508165845,1.18213658070991,0.897128482395001,1.0522544882855,0.96140704046369,0.956573952965726,0.12655660924285
Chenango,2020-09-04,R,NA,Estimate,0.732921044317103,1.15621111491625,0.869204194710947,1.03160805528933,0.952183237458871,0.946168199501195,0.128122542045988
Chenango,2020-09-05,R,NA,Estimate,0.72920834050497,1.15853843079954,0.862734684505849,1.02956609171154,0.944490480499117,0.938512114257206,0.129766016820861
Chenango,2020-09-06,R,NA,Estimate,0.700864645485723,1.12776576482851,0.862729196123701,1.03122099042537,0.939719619126617,0.93381573963192,0.131202156835981
Chenango,2020-09-07,R,NA,Estimate,0.719045226248741,1.14485428980355,0.853527934175312,1.03304812726313,0.939755243212162,0.932241499121646,0.13220636793647
Chenango,2020-09-08,R,NA,Estimate,0.72280841650195,1.14949076236062,0.862753411825817,1.04750171265213,0.942437088734032,0.933908762214642,0.132619775504649
Chenango,2020-09-09,R,NA,Estimate,0.738730983132179,1.16214632711245,0.870501288900482,1.05492848294288,0.950243903724973,0.938896862721066,0.132352126806036
Chenango,2020-09-10,R,NA,Estimate,0.737873640649954,1.15753892695745,0.896284315060831,1.07762345120252,0.959316934989995,0.947245941284526,0.131386383627664
Chenango,2020-09-11,R,NA,Estimate,0.74933364363425,1.16988856515312,0.906490774456623,1.08083614141499,0.972471687840081,0.95895522976817,0.129786637365485
Chenango,2020-09-12,R,NA,Estimate,0.755370670394713,1.17220462027497,0.920286619260826,1.09158867465749,0.987435221877405,0.973978676574062,0.127708514167722
Chenango,2020-09-13,R,NA,Estimate,0.769874018607026,1.17906888634701,0.929729538095372,1.09420178924785,0.999617669700016,0.992218141001021,0.12540875500327
Chenango,2020-09-14,R,NA,Estimate,0.802102013721997,1.20563329237748,0.952426793566809,1.10757437036936,1.01731997173376,1.01351476655069,0.123247595156752
Chenango,2020-09-15,R,NA,Estimate,0.823829363438005,1.22455904234713,0.998774541677059,1.14797157763716,1.03961643662546,1.03763956677887,0.121673605334711
Chenango,2020-09-16,R,NA,Estimate,0.870934955743322,1.26366275127978,1.01213382010969,1.15819090506027,1.06318220318024,1.06428469238278,0.121177660194391
Chenango,2020-09-17,R,NA,Estimate,0.899127471752481,1.28821947311463,1.03826970670958,1.18454650353802,1.09188835695156,1.09305724064268,0.122207201652215
Chenango,2020-09-18,R,NA,Estimate,0.928550872427742,1.31737455278126,1.03515767155551,1.18531529743291,1.1216976316613,1.12347773228905,0.1250520165854
Chenango,2020-09-19,R,NA,Estimate,0.942876619566476,1.34343391410635,1.05862530910531,1.21596112536863,1.15260878837434,1.15498539268792,0.129742950628282
Chenango,2020-09-20,R,NA,Estimate,0.967762497793574,1.38244118646045,1.07916430264477,1.23920543112893,1.17725763406268,1.18695198728925,0.136016888572001
Chenango,2020-09-21,R,NA,Estimate,1.0117572723134,1.44462481565734,1.13568813547845,1.30640439846226,1.20563641820694,1.21870505992052,0.143372706966484
Chenango,2020-09-22,R,NA,Estimate,1.0328493637713,1.4993828705298,1.10272697205239,1.27832517404148,1.23540808703594,1.24956000855221,0.15119619332068
Chenango,2020-09-23,R,NA,Estimate,1.00517027448392,1.50536076383763,1.14365276949157,1.32662985516827,1.26103823538828,1.27885870202146,0.158908481838438
Chenango,2020-09-24,R,NA,Estimate,1.04080321978026,1.5502018465696,1.17126250507922,1.36555655284191,1.2897201893288,1.3060106876216,0.16609950910065
Chenango,2020-09-25,R,NA,Estimate,1.06642835963538,1.58955879670499,1.20064268796519,1.40817802967914,1.31249142057114,1.33053195715166,0.172623584149453
Chenango,2020-09-26,R,NA,Estimate based on partial data,1.09438430733451,1.64204272442536,1.18741480038523,1.40741964494453,1.33787983166632,1.35207613651745,0.178643550119348
Chenango,2020-09-27,R,NA,Estimate based on partial data,1.0790758326167,1.64966963280164,1.21199887047103,1.44463657322898,1.3544010665106,1.37045397778429,0.184614423221914
Chenango,2020-09-28,R,NA,Estimate based on partial data,1.06176700859905,1.67158365385751,1.23647576685575,1.47844470959095,1.37333945679142,1.38563893845143,0.191203980808771
Chenango,2020-09-29,R,NA,Estimate based on partial data,1.05655006435927,1.69982608641822,1.23481806038945,1.49509951718559,1.38223244049969,1.39775891566579,0.199161664809794
Chenango,2020-09-30,R,NA,Estimate based on partial data,1.09013573233032,1.7672355286069,1.27994632857326,1.55646692347329,1.39398948057036,1.40707626012518,0.209166966353095
Chenango,2020-10-01,R,NA,Estimate based on partial data,1.0804306157561,1.80059270912308,1.21262780495065,1.51506001234252,1.39715379103518,1.41395956471689,0.221702829489316
Chenango,2020-10-02,R,NA,Estimate based on partial data,1.0561433690046,1.82313983113342,1.19820345182852,1.51900317910238,1.39975864698489,1.41885122720857,0.236992996550617
Chenango,2020-10-03,R,NA,Estimate based on partial data,1.04255655292112,1.85896694025859,1.21826277194227,1.55575684390895,1.39744884867516,1.42223452180626,0.255012929205926
